TCGA-3X-AAV9-01	TN
TCGA-3X-AAVA-01	TN
TCGA-3X-AAVB-01	TN
TCGA-3X-AAVC-01	TN
TCGA-3X-AAVE-01	TN
TCGA-4G-AAZO-01	TN
TCGA-4G-AAZT-01	TN
TCGA-W5-AA2G-01	TN
TCGA-W5-AA2H-01	TN
TCGA-W5-AA2I-01	TN
TCGA-W5-AA2O-01	TN
TCGA-W5-AA2Q-01	TN
TCGA-W5-AA2R-01	TN
TCGA-W5-AA2T-01	TN
TCGA-W5-AA2U-01	TN
TCGA-W5-AA2W-01	TN
TCGA-W5-AA2X-01	TN
TCGA-W5-AA2Z-01	TN
TCGA-W5-AA30-01	TN
TCGA-W5-AA31-01	TN
TCGA-W5-AA33-01	TN
TCGA-W5-AA34-01	TN
TCGA-W5-AA36-01	TN
TCGA-W5-AA38-01	TN
TCGA-W5-AA39-01	TN
TCGA-W6-AA0S-01	TN
TCGA-WD-A7RX-01	TN
TCGA-YR-A95A-01	TN
TCGA-ZD-A8I3-01	TN
TCGA-ZH-A8Y1-01	TN
TCGA-ZH-A8Y2-01	TN
TCGA-ZH-A8Y4-01	TN
TCGA-ZH-A8Y5-01	TN
TCGA-ZH-A8Y6-01	TN
TCGA-ZH-A8Y8-01	TN
TCGA-ZU-A8S4-01	TN
TCGA-W5-AA2I-11	NT
TCGA-W5-AA2Q-11	NT
TCGA-W5-AA2R-11	NT
TCGA-W5-AA2U-11	NT
TCGA-W5-AA2X-11	NT
TCGA-W5-AA30-11	NT
TCGA-W5-AA31-11	NT
TCGA-W5-AA34-11	NT
TCGA-ZU-A8S4-11	NT
